municipality,county,municipality_id,county_id,latitude,longitude,hover
mörbylånga,kalmar,0840,8,56.355521,16.411009,kalmar mörbylånga
forshaga,värmland,1763,17,59.605939,13.463648,värmland forshaga
hudiksvall,gävleborg,2184,21,61.800127,16.555885999999994,gävleborg hudiksvall
munkedal,västra götaland,1430,14,58.527657,11.578637,västra götaland munkedal
västerås,västmanland,1980,19,59.572402,16.388665,västmanland västerås
kungälv,västra götaland,1482,14,57.924606,12.028827,västra götaland kungälv
älmhult,kronoberg,0765,7,56.63938100000001,14.221131,kronoberg älmhult
sölvesborg,blekinge,1083,10,56.070682,14.721403,blekinge sölvesborg
leksand,dalarna,2029,20,60.612263,15.00547,dalarna leksand
gagnef,dalarna,2026,20,60.560541,15.130313,dalarna gagnef
norrköping,östergötland,0581,5,58.629273,16.347165,östergötland norrköping
värmdö,västra götaland,0120,1,58.863797,13.470505,västra götaland värmdö
kramfors,västernorrland,2282,22,63.05732,18.327456,västernorrland kramfors
helsingborg,skåne,1283,12,56.11969300000001,12.607308,skåne helsingborg
göteborg,västra götaland,1480,14,57.601575,11.803462,västra götaland göteborg
dorotea,västerbotten,2425,24,64.46396,16.114732999999998,västerbotten dorotea
kalmar,kalmar,0880,8,56.779433,16.420263000000002,kalmar kalmar
ekerö,stockholm,0125,1,59.324925,17.887332,stockholm ekerö
karlskrona,halland,1080,10,57.501139,11.926259,halland karlskrona
skellefteå,västerbotten,2482,24,64.917969,20.954582,västerbotten skellefteå
kalmar,kalmar,0880,8,56.63409100000001,16.265794,kalmar kalmar
kungälv,västra götaland,1482,14,57.953185,12.018631,västra götaland kungälv
krokom,jämtland,2309,23,63.302411,14.473199,jämtland krokom
forshaga,värmland,1763,17,59.514042,13.438148000000002,värmland forshaga
kävlinge,skåne,1261,12,55.819977,13.030453,skåne kävlinge
eda,värmland,1730,17,59.921335,12.263376,värmland eda
arvika,värmland,1784,17,59.62982,12.822921,värmland arvika
dals-ed,västra götaland,1438,14,58.91258199999999,11.934013,västra götaland dals-ed
knivsta,uppsala,0330,3,59.811901,17.775823000000006,uppsala knivsta
norrtälje,stockholm,0188,1,59.895128,18.492378,stockholm norrtälje
västervik,kalmar,0883,8,58.01957700000001,16.467458999999998,kalmar västervik
ovanåker,gävleborg,2121,21,61.377442,15.818175,gävleborg ovanåker
hudiksvall,gävleborg,2184,21,61.77376999999999,17.00371,gävleborg hudiksvall
karlstad,värmland,1780,17,59.436975,13.210344,värmland karlstad
skara,västra götaland,1495,14,58.433965,13.645112,västra götaland skara
örebro,örebro,1880,18,59.25846899999999,15.336875,örebro örebro
bjuv,skåne,1260,12,56.01666700000001,12.95,skåne bjuv
kumla,örebro,1881,18,59.166667,15.266667000000002,örebro kumla
södertälje,stockholm,0181,1,59.183333,17.633333,stockholm södertälje
tidaholm,uppsala,1498,14,59.990706,17.299305,uppsala tidaholm
vetlanda,jönköping,0685,6,57.491838,15.020954,jönköping vetlanda
ekerö,stockholm,0125,1,59.355591,17.622421,stockholm ekerö
ekerö,stockholm,0125,1,59.276032,17.7345,stockholm ekerö
örkelljunga,västra götaland,1257,12,58.057464,13.803066,västra götaland örkelljunga
hagfors,värmland,1783,17,60.174282,13.493761,värmland hagfors
eksjö,jönköping,0686,6,57.66744300000001,14.973559,jönköping eksjö
vallentuna,stockholm,0115,1,59.641435,18.231124,stockholm vallentuna
norrköping,östergötland,0581,5,58.585982,16.091887,östergötland norrköping
linköping,stockholm,0580,5,59.307174,17.752373000000006,stockholm linköping
halmstad,halland,1380,13,56.597933,12.985408,halland halmstad
orust,västra götaland,1421,14,58.17997,11.468747,västra götaland orust
